ticker,avg_smape_gemini,avg_smape_traditional,improvement,is_avg_smape_gemini,is_avg_smape_traditional,bs_avg_smape_gemini,bs_avg_smape_traditional
AAPL,7.6986042728188515,33.888588648366415,26.189984375547564,4.110262101305541,15.588921878234842,11.28694644433216,44.86838871044536
ALB,115.33488148862716,59.99926412796831,-55.33561736065885,156.38216515831155,72.11851890086585,74.28759781894276,51.51578578694002
AMP,17.796048023025985,6.686951288486634,-11.109096734539351,31.03144068235895,5.266181526753937,4.560655363693014,7.539413145526251
AMTM,71.46902881558358,61.775901231405136,-9.693127584178448,48.45699699285978,69.48037942556553,94.4810606383074,55.034482811514806
AMZN,14.008064845818348,7.060966785379668,-6.94709806043868,16.35212424397635,4.544920827946953,11.664005447660353,8.498707332484075
AVGO,58.28275333600181,75.52979807103358,17.24704473503177,45.34542455438697,79.43339929924862,71.22008211761666,72.79727721128305
BK,10.47176569273682,71.76090525223528,61.28913955949845,13.28739192335158,92.69350261912808,8.594681538993642,56.061457227065674
BRO,4.952918657896132,25.96514194952113,21.012223291625,2.1074878117178635,13.304258538202824,7.798349504074402,37.04341493442463
BXP,100.17020893611976,10.126293852616506,-90.04391508350326,128.6419453281787,5.262150276935067,71.69847254406078,13.044779998025367
CAH,12.70440953408638,12.58252478181427,-0.12188475227211093,8.520385671750182,9.861695715060046,16.88843339642258,14.487105128542222
CBOE,15.965516790299,17.22096984806012,1.2554530577611178,11.24302621811133,18.244393365753098,20.68800736248667,16.32547427007876
CNC,16.326534289598573,18.22429811722085,1.8977638276222777,17.309834659125187,27.39608804036421,15.34323392007196,10.198981934470414
DOV,42.27791897978566,36.81144167392742,-5.466477305858241,31.81657227024581,32.32051895997262,52.739265689325514,39.95508757369578
DOW,15.409109214268502,48.34123553301362,32.93212631874511,19.296868422103874,68.68138437355174,11.521350006433126,34.10313134463693
DTE,74.6831005866981,54.69467263587174,-19.988427950826363,80.14822425629184,78.95480766976094,69.21797691710437,37.7125781121493
ECL,9.656378985715463,17.546358796174342,7.889979810458879,17.22273869686646,21.90920087020083,2.09001927456447,14.4923693443558
EQT,103.94251063742912,80.43093135122409,-23.511579286205034,103.94251063742912,103.16875034476244,,60.53533973187804
ETR,77.74270979893191,49.7308906865692,-28.011819112362716,82.97403374729556,65.18589674486734,72.51138585056826,38.91238644576049
FTNT,14.188317165883808,17.210557489384886,3.0222403235010784,14.188317165883808,13.747519188609852,,19.18943651839919
GL,11.456605316914098,14.489064297735506,3.032458980821408,6.393300003459171,19.593769451893163,16.519910630369026,11.298623576386968
HBAN,4.988163071338794,57.987228557885715,52.99906548654692,2.972873150787607,78.59174956455622,6.331689685039585,40.32621055216813
HIG,7.947148147843734,10.07349892978224,2.1263507819385055,8.458332378470553,15.011239925600083,7.435963917216917,6.546541075626638
HRL,72.4236304626502,19.372957260737323,-53.05067320191287,77.54935718988068,11.36583814805446,67.29790373541972,24.977940639615323
LYV,18.51229544467594,67.94818856152341,49.43589311684747,18.51229544467594,82.45450232709261,,57.793768925624974
MET,166.68061321918617,48.357764917229545,-118.32284830195663,133.36122643837234,38.90767419687525,200.0,55.445332957495275
MMM,66.67255842916506,70.1326726211462,3.460114191981134,102.74281215414338,85.9896937726057,30.602304704186743,59.032757815124555
MRNA,46.57100314338397,69.17890311120165,22.60789996781768,53.41724122520922,100.16239875280074,39.72476506155873,47.49045616208226
MS,57.00608081358538,85.60924012658396,28.603159312998578,37.632900962248925,104.14158720643356,69.92153404780969,71.70997981669674
MTCH,41.94645351145474,8.4363891913087,-33.51006432014604,12.4818598073971,7.2027695260111315,71.41104721551238,9.25880230150708
MU,41.231071834793354,82.94399350587601,41.712921671082654,74.50148481384277,99.36686090765936,7.960658855743941,71.44798632462769
NSC,10.485425563854337,17.768902998485174,7.2834774346308375,16.48054867475187,16.60157199577622,4.490302452956802,18.58603470038144
PANW,39.48875273833088,35.901309659023134,-3.5874430793077465,47.57253679360212,46.09087223888571,31.404968683059646,26.985442401643375
PEG,20.37669475828334,60.098959523296685,39.72226476501335,26.798008404546504,55.56551799645283,13.955381112020175,64.63240105014054
PEP,10.265350126441689,8.40966951959295,-1.8556806068487397,4.954913403737202,8.342430741496495,15.57578684914617,8.456736664260466
PG,4.209765199099436,6.921158986203143,2.7113937871037077,3.140821468136773,8.496979364390082,5.2787089300620975,5.818084721472284
PGR,81.84104527461051,8.164882528948823,-73.67616274566168,88.89570595344905,9.37301419494596,74.78638459577196,7.681629862549967
PM,12.519325324037244,13.3891641676939,0.8698388436566571,7.558237727997379,7.2617861491662365,17.48041292007711,17.67832878066326
PNC,5.527823415148468,5.424476863515928,-0.10334655163253981,5.208264158523681,3.3392586458643896,5.740862919564994,6.467085972341698
PSX,54.25170061145443,28.795838998069677,-25.455861613384755,80.55727257457725,24.917927649687197,27.94612864833162,31.51037694193741
REGN,4.053952260463833,8.334032102346209,4.280079841882375,4.757641755111968,2.9881405539601205,3.3502627658156983,11.388827272852543
RVTY,44.33613526054054,50.221452257890064,5.885316997349527,51.32653616980328,76.21664601646748,37.34573435127778,32.024816626885865
SMCI,42.81773769441696,62.59483738222346,19.777099687806498,28.96976646843464,48.039626911155366,56.665708920399275,72.78348471197113
SW,65.42967797472906,88.9417119856255,23.512034010896443,48.533897355276714,68.0765690207886,82.3254585941814,103.54731206101135
SYF,13.908928018610077,8.138789561514985,-5.770138457095092,16.70873745569138,8.684169689817674,12.042388393889206,7.775202809313192
TPR,43.60741597245377,45.32866350138313,1.7212475289293607,5.691001361426152,39.012687858519385,81.5238305834814,49.74984645138777
TRV,18.75703793464422,4.533332447517263,-14.223705487126956,32.33165440661647,1.938804816789828,5.182421462671958,5.83059626288098
TTWO,86.30062770554368,84.27041758668109,-2.030210118862584,136.51042315703273,111.62704341321384,36.090832254054625,60.33336998846494
UNH,199.99956919779913,12.178703691415034,-187.8208655063841,199.9995035885831,17.595351411102538,199.9996348070152,7.43913693668847
V,8.135986866971514,4.2430831945943535,-3.8929036723771606,1.718368821673546,3.1309837103951823,14.553604912269485,4.984482850727133
VLTO,88.27708883193891,32.81024376378656,-55.46684506815235,66.94124813028812,40.310784053268904,109.6129295335897,27.55986556114891
