ticker,method,bs_avg_smape
VLTO,"Weighted (30% Gemini, 70% Traditional)",18.573600187124047
AAPL,"Weighted (20% Gemini, 80% Traditional)",34.0638887201136
ALB,"Weighted (20% Gemini, 80% Traditional)",4.381572789324128
AMP,"Weighted (20% Gemini, 80% Traditional)",68.0758720462948
AMTM,"Weighted (20% Gemini, 80% Traditional)",100.0
AMZN,"Weighted (20% Gemini, 80% Traditional)",70.21922488556616
AVGO,"Weighted (20% Gemini, 80% Traditional)",41.73686984125268
BK,"Weighted (20% Gemini, 80% Traditional)",8.5301944684246
BRO,"Weighted (20% Gemini, 80% Traditional)",2.334813131898219
BXP,"Weighted (20% Gemini, 80% Traditional)",64.22882825276572
CAH,"Weighted (20% Gemini, 80% Traditional)",7.706057638581081
CBOE,"Weighted (20% Gemini, 80% Traditional)",2.9985581991253554
CNC,"Weighted (20% Gemini, 80% Traditional)",0.023937815843158794
DOV,"Weighted (20% Gemini, 80% Traditional)",12.398919566028786
DOW,"Weighted (20% Gemini, 80% Traditional)",0.8981740102194781
DTE,"Weighted (20% Gemini, 80% Traditional)",2.9801851960629504
ECL,"Weighted (20% Gemini, 80% Traditional)",4.651896868880319
EQT,"Weighted (20% Gemini, 80% Traditional)",34.7536275372878
ETR,"Weighted (20% Gemini, 80% Traditional)",8.941357782705524
FTNT,"Weighted (20% Gemini, 80% Traditional)",100.0
GL,"Weighted (20% Gemini, 80% Traditional)",4.004524565481804
HBAN,"Weighted (20% Gemini, 80% Traditional)",2.5442714761293703
HIG,"Weighted (20% Gemini, 80% Traditional)",4.294705017566754
HRL,"Weighted (20% Gemini, 80% Traditional)",1.2990544799506072
LYV,"Weighted (20% Gemini, 80% Traditional)",92.5936692074028
MET,"Weighted (20% Gemini, 80% Traditional)",12.923649621256612
MMM,"Weighted (20% Gemini, 80% Traditional)",100.0
MRNA,"Weighted (20% Gemini, 80% Traditional)",8.460223271589822
MS,"Weighted (20% Gemini, 80% Traditional)",15.490159051075146
MTCH,"Weighted (20% Gemini, 80% Traditional)",100.0
MU,"Weighted (20% Gemini, 80% Traditional)",10.556369085452785
NSC,"Weighted (20% Gemini, 80% Traditional)",3.215737418985387
PANW,"Weighted (20% Gemini, 80% Traditional)",14.87026679386394
PEG,"Weighted (20% Gemini, 80% Traditional)",0.19359480454957023
PEP,"Weighted (20% Gemini, 80% Traditional)",1.43227519254789
PG,"Weighted (20% Gemini, 80% Traditional)",1.6484023411262139
PGR,"Weighted (20% Gemini, 80% Traditional)",71.41005416319261
PM,"Weighted (20% Gemini, 80% Traditional)",3.997565675877479
PNC,"Weighted (20% Gemini, 80% Traditional)",66.97192540028777
PSX,"Weighted (20% Gemini, 80% Traditional)",6.785040218434751
REGN,"Weighted (20% Gemini, 80% Traditional)",67.27551666238205
RVTY,"Weighted (20% Gemini, 80% Traditional)",5.639079733171867
SMCI,"Weighted (20% Gemini, 80% Traditional)",26.91069368172338
SW,"Weighted (20% Gemini, 80% Traditional)",45.17389579369219
SYF,"Weighted (20% Gemini, 80% Traditional)",69.52271890720216
TPR,"Weighted (20% Gemini, 80% Traditional)",17.715670040978292
TRV,"Weighted (20% Gemini, 80% Traditional)",65.36105967810853
TTWO,"Weighted (20% Gemini, 80% Traditional)",23.686702806165382
UNH,"Weighted (20% Gemini, 80% Traditional)",5.660055740595383
V,"Weighted (20% Gemini, 80% Traditional)",64.59539820924648
VLTO,"Weighted (20% Gemini, 80% Traditional)",14.190945567675595
AAPL,Median,27.04381834653207
ALB,Median,1.9221660594898455
AMP,Median,35.60728876207769
AMTM,Median,100.0
AMZN,Median,39.14122369541418
AVGO,Median,42.7944413322772
BK,Median,5.065833156978552
BRO,Median,0.9649771289361542
BXP,Median,29.4890227196262
CAH,Median,0.38822872280128984
CBOE,Median,2.0822786099946407
CNC,Median,0.5331127991857282
DOV,Median,12.422020501669511
DOW,Median,1.1185395248340628
DTE,Median,0.9783768566778287
ECL,Median,3.014176227212192
EQT,Median,53.53685823580244
ETR,Median,3.6042962545699204
FTNT,Median,100.0
GL,Median,3.1249450332872475
HBAN,Median,0.5180508551403983
HIG,Median,2.5227472440271237
HRL,Median,0.9486522707277881
LYV,Median,88.40744560948643
MET,Median,10.465391262971078
MMM,Median,100.0
MRNA,Median,6.372849362002423
MS,Median,10.999603507107057
MTCH,Median,100.0
MU,Median,5.2877309832431045
NSC,Median,4.4315069203629065
PANW,Median,22.536337741950565
PEG,Median,2.6765378688046177
PEP,Median,2.9853328346897863
PG,Median,2.2857638611416102
PGR,Median,41.145078123147165
PM,Median,1.0929797478073984
PNC,Median,33.82264350434601
PSX,Median,6.469519524169207
REGN,Median,34.31106507829032
RVTY,Median,4.944032643763863
SMCI,Median,28.422949327528034
SW,Median,44.68013473165909
SYF,Median,37.982689747003995
TPR,Median,8.771464765418804
TRV,Median,31.260599208592424
TTWO,Median,24.103644274414087
UNH,Median,28.366432046364142
V,Median,30.059983716331853
VLTO,Median,28.43205880688721
AAPL,"Hybrid: Traditional for BS, Average for IS",38.03863221187225
ALB,"Hybrid: Traditional for BS, Average for IS",6.088195479997
AMP,"Hybrid: Traditional for BS, Average for IS",100.0
AMTM,"Hybrid: Traditional for BS, Average for IS",100.0
AMZN,"Hybrid: Traditional for BS, Average for IS",100.0
AVGO,"Hybrid: Traditional for BS, Average for IS",41.04048235433272
BK,"Hybrid: Traditional for BS, Average for IS",10.969545029220882
BRO,"Hybrid: Traditional for BS, Average for IS",3.2688758011555596
BXP,"Hybrid: Traditional for BS, Average for IS",100.0
CAH,"Hybrid: Traditional for BS, Average for IS",13.207590991534582
CBOE,"Hybrid: Traditional for BS, Average for IS",3.5999434096936405
CNC,"Hybrid: Traditional for BS, Average for IS",0.39878419980436913
DOV,"Hybrid: Traditional for BS, Average for IS",12.383524215850931
DOW,"Hybrid: Traditional for BS, Average for IS",2.288981224780946
DTE,"Hybrid: Traditional for BS, Average for IS",4.359408087844708
ECL,"Hybrid: Traditional for BS, Average for IS",5.7729499760032
EQT,"Hybrid: Traditional for BS, Average for IS",24.59214561396616
ETR,"Hybrid: Traditional for BS, Average for IS",12.815743872582905
FTNT,"Hybrid: Traditional for BS, Average for IS",100.0
GL,"Hybrid: Traditional for BS, Average for IS",4.582090792224727
HBAN,"Hybrid: Traditional for BS, Average for IS",3.941085743213218
HIG,"Hybrid: Traditional for BS, Average for IS",5.440648798872423
HRL,"Hybrid: Traditional for BS, Average for IS",1.5340105082088542
LYV,"Hybrid: Traditional for BS, Average for IS",94.03072494023763
MET,"Hybrid: Traditional for BS, Average for IS",23.694516697102866
MMM,"Hybrid: Traditional for BS, Average for IS",100.0
MRNA,"Hybrid: Traditional for BS, Average for IS",9.800855342116268
MS,"Hybrid: Traditional for BS, Average for IS",18.691311178921705
