method,mean_smape,median_smape,std_smape
Simple Average (50/50),24.142696590694904,10.732497385039068,29.04253601757169
Median,24.142696590694904,10.732497385039068,29.04253601757169
"Weighted (30% Gemini, 70% Traditional)",27.548677959248536,12.343497131539145,31.07975842140369
"Weighted (20% Gemini, 80% Traditional)",29.946944067121734,12.661284593642698,33.254896521866144
"Hybrid: Traditional for BS, Average for IS",36.39873168440028,13.011667432058744,41.02420266928845
"Hybrid: Gemini for IS, Traditional for BS",36.39873168440028,13.011667432058744,41.02420266928845
