filename,total_pages,income_statement_pages,balance_sheet_pages,status,error
Alibaba_2024.pdf,341,254 255,256 257,success,
EM_2024.pdf,152,88 89,90,success,
GM_2023.pdf,113,61,62,success,
Google_2024.pdf,140,83 84,82,success,
JPM_2024.pdf,372,206 207,208,success,
LVMH_2024.pdf,70,23 24,26,success,
Meta_2024.pdf,134,89 90,88,success,
Tencent_2024.pdf,274,124 125,126 127,success,
Volkswagan_2024.pdf,677,472,475,success,
